index,timestamp,node 100 chan 0,node 100 chan 1,node 100 chan 10,node 100 chan 2,node 100 chan 3,node 100 chan 4,node 100 chan 5,node 100 chan 6,node 100 chan 7,node 100 chan 8,node 100 chan 9,node 200 chan 0,node 300 chan 0,node 300 chan 1,node 300 chan 2,node 300 chan 3,node 300 chan 4,node 300 chan 5,node 400 chan 0
1,2020-06-10 11:04:20.510,168.0,171.0,110.0,0.0,0.0,0.0,174.0,0.0,162.0,0.0,0.0,56.0,0.0,0.0,0.0,100.0,0.0,0.0,130.0
2,2020-06-10 11:04:20.600,164.0,182.0,112.0,0.0,0.0,0.0,174.0,0.0,165.0,0.0,0.0,56.0,0.0,0.0,0.0,100.0,0.0,0.0,130.0
3,2020-06-10 11:04:20.835,171.0,163.0,112.0,0.0,0.0,0.0,177.0,0.0,166.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
4,2020-06-10 11:04:20.879,171.0,162.0,112.0,0.0,0.0,0.0,176.0,0.0,167.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
5,2020-06-10 11:04:20.984,161.0,152.0,104.0,0.0,0.0,0.0,172.0,0.0,161.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
6,2020-06-10 11:04:21.116,136.0,129.0,109.0,0.0,0.0,0.0,183.0,0.0,148.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
7,2020-06-10 11:04:21.173,136.0,129.0,109.0,0.0,0.0,0.0,183.0,0.0,148.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
8,2020-06-10 11:04:21.280,193.0,95.0,107.0,0.0,0.0,0.0,191.0,0.0,124.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
9,2020-06-10 11:04:21.386,291.0,77.0,111.0,0.0,0.0,0.0,175.0,0.0,94.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
10,2020-06-10 11:04:21.483,312.0,73.0,114.0,0.0,0.0,0.0,165.0,0.0,88.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
11,2020-06-10 11:04:21.641,324.0,65.0,114.0,0.0,0.0,0.0,127.0,0.0,63.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
12,2020-06-10 11:04:21.654,324.0,61.0,112.0,0.0,0.0,0.0,124.0,0.0,62.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
13,2020-06-10 11:04:21.917,164.0,65.0,109.0,0.0,0.0,0.0,85.0,0.0,46.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
14,2020-06-10 11:04:21.923,164.0,65.0,109.0,0.0,0.0,0.0,85.0,0.0,46.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
15,2020-06-10 11:04:21.937,154.0,65.0,99.0,0.0,0.0,0.0,85.0,0.0,46.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
16,2020-06-10 11:04:22.162,70.0,65.0,117.0,0.0,0.0,0.0,85.0,0.0,31.0,0.0,0.0,30.0,30.0,5.0,30.0,101.0,5.0,0.0,130.0
